alpha_in,alpha_out,Omega,segment,rho_local,rho_local_std,D_local,MSD_t20,MSD_t100,MSD_t200,MSD_t1000,MSD_t2000,MSD_t6000,Rg_local,Rg_local_std,n_neighbors_3s,n_neighbors_3s_std,sigma_rho_theory,D_eff,rho_mean,Rg_chain,alpha_ratio,log_Omega
0.1,0.1,0.0,215,0.105738,0.009747,0.031048639599770278,1.261275,15.94316,43.81017,251.0977,461.0169,1243.778,1.850143,0.018704,12.506211,0.458231,0.42107919238959574,0.03033810324962757,0.38672647000000004,11.10130689152859,1.0,-inf
0.1,0.1,0.0,225,0.107404,0.011183,0.03131137120609565,1.273741,16.06778,43.88857,249.1004,460.4128,1251.539,1.841805,0.016984,12.583262,0.348429,0.41160975205005057,0.03033810324962757,0.38672647000000004,11.10130689152859,1.0,-inf
0.1,0.1,0.0,235,0.103836,0.008311,0.03143395131998934,1.264224,15.80464,43.04009,244.304,457.5875,1249.291,1.835976,0.011296,12.700592,0.343191,0.40098615852152025,0.03033810324962757,0.38672647000000004,11.10130689152859,1.0,-inf
0.1,0.1,0.0,245,0.105501,0.00871,0.031536700420347,1.274219,15.84428,42.47386,239.8826,457.0138,1250.112,1.834361,0.016231,12.651239,0.359807,0.38900001999752465,0.03033810324962757,0.38672647000000004,11.10130689152859,1.0,-inf
0.1,0.1,0.0,255,0.103103,0.006988,0.031621799136646284,1.257331,15.57315,41.54779,232.6051,452.8013,1247.809,1.822223,0.015519,12.575409,0.310998,0.37608275098574073,0.03033810324962757,0.38672647000000004,11.10130689152859,1.0,-inf
0.1,0.1,0.0,265,0.103207,0.006194,0.031612926246127326,1.265594,15.29665,40.32139,225.5967,447.1135,1243.133,1.817309,0.019087,12.572688,0.360319,0.3629060689655836,0.03033810324962757,0.38672647000000004,11.10130689152859,1.0,-inf
0.1,0.1,0.0,275,0.101071,0.005985,0.0316716421950606,1.233337,14.46021,36.99432,213.5587,433.9246,1231.81,1.798679,0.019533,12.564098,0.310106,0.3494085086365902,0.03033810324962757,0.38672647000000004,11.10130689152859,1.0,-inf
0.1,0.1,0.0,285,0.100235,0.00641,0.031876093319076336,1.199133,13.6739,33.57035,200.5969,422.4502,1224.768,1.773996,0.019445,12.365998,0.261935,0.3352134902949441,0.03033810324962757,0.38672647000000004,11.10130689152859,1.0,-inf
0.1,0.1,0.0,295,0.100213,0.006331,0.0324086583839646,1.135616,11.32182,27.73057,188.3858,412.54,1226.206,1.678246,0.009552,10.571327,0.32033,0.3203041488849365,0.03033810324962757,0.38672647000000004,11.10130689152859,1.0,-inf
0.1,0.1,0.001,5,0.898599,0.004517,0.030129083689658432,17.57548,66.68478,113.2433,384.3389,602.5026,1341.175,1.545694,0.005071,13.847234,0.222258,0.3153807924763,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,15,0.898224,0.004058,0.030134671548432915,18.4618,67.06624,113.6473,384.9789,602.671,1342.187,1.540685,0.00383,16.717123,0.246557,0.3354595909847,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,25,0.899885,0.004178,0.030159773357376112,18.25539,66.27205,112.9132,384.4029,601.5515,1341.862,1.539321,0.005618,17.515652,0.293753,0.3549122519033,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,35,0.898899,0.004012,0.030194760278713664,17.99737,65.36958,112.0738,383.5345,600.4789,1341.878,1.535579,0.004819,18.155613,0.320498,0.37411561355229994,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,45,0.897253,0.005669,0.03018847362567945,17.6894,64.27916,111.1206,382.4764,599.3157,1340.781,1.537171,0.006537,18.676484,0.386778,0.3938803257858,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,55,0.895555,0.004255,0.03018672994228915,17.34153,63.06586,110.0205,381.3205,598.3537,1340.288,1.536053,0.005214,19.113275,0.419249,0.41274854649700005,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,65,0.892139,0.003741,0.03018795635323567,17.03525,61.81766,108.7395,380.2754,597.1344,1339.636,1.534734,0.004769,19.53572,0.438288,0.43027625811469994,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,75,0.89309,0.004552,0.030198684945394818,16.68188,60.3421,107.3597,379.0362,595.5264,1339.105,1.531076,0.006877,19.977383,0.490314,0.44591979230479994,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,85,0.892937,0.004662,0.03019391399278483,16.25169,58.95049,106.0421,377.5409,593.8204,1337.811,1.527464,0.008166,20.431238,0.510626,0.459577886729,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,95,0.888525,0.007606,0.03021520752282958,15.7646,57.38564,104.437,375.9683,592.3486,1336.939,1.524005,0.007619,20.916606,0.561202,0.4719625489124001,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,105,0.884603,0.006788,0.030216940194546352,15.15247,55.71436,102.6972,374.6176,590.9658,1335.92,1.518748,0.012808,21.400399,0.638192,0.4820840113809,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,115,0.881452,0.008616,0.030238479894475714,14.41791,53.92062,100.8567,372.6381,588.8088,1334.722,1.509495,0.018049,21.907319,0.647817,0.48990643004469997,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,125,0.843971,0.071998,0.030247677402128307,13.30724,51.32223,98.10013,370.1401,586.4213,1333.065,1.507555,0.011837,22.339574,0.468573,0.49561259648969996,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,135,0.761495,0.181746,0.030221617142324703,11.69194,47.41951,93.20002,365.71,581.742,1327.738,1.520471,0.080564,22.349829,1.387652,0.4989567075472999,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,145,0.647074,0.216846,0.030164794443149207,9.771938,42.98648,87.35744,358.0839,573.78,1318.508,1.542418,0.104926,21.892557,2.623559,0.49990402422580005,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,155,0.505725,0.215071,0.030062130804144643,7.416254,37.04897,79.35914,347.1803,561.5218,1303.075,1.593374,0.118805,20.895583,3.110976,0.49876716507920005,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,165,0.32315,0.187232,0.02996322685668323,4.733989,29.85564,69.48196,332.8671,542.4053,1280.853,1.688704,0.130127,18.950272,3.485242,0.4960180885024001,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,175,0.219066,0.151639,0.030046348930789845,3.001524,23.8764,60.18213,318.6523,525.8228,1263.574,1.784187,0.121054,16.421849,3.232993,0.4917298501864999,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,185,0.165471,0.097474,0.03014614917889115,2.096521,20.86945,55.4388,304.7416,512.0843,1252.467,1.824015,0.084027,14.725787,2.701577,0.485897992488,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,195,0.134645,0.040879,0.02977064605932155,1.642,19.21838,52.92947,292.2256,495.2641,1228.241,1.852545,0.048583,13.605184,1.808279,0.47785685816469997,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,205,0.113413,0.00647,0.029553832270181834,1.35856,17.83994,50.19969,280.603,479.9429,1210.223,1.863023,0.019442,12.930923,0.927098,0.46782578122280005,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,215,0.111485,0.004447,0.029674114392440536,1.344012,17.44285,48.49219,271.3397,468.2714,1198.432,1.852489,0.019099,12.732175,0.589984,0.4565893567545,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,225,0.108824,0.005101,0.029894838515487354,1.319783,16.93866,46.78591,261.7788,454.8999,1188.069,1.846448,0.017909,12.681614,0.4826,0.44384263163369997,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,235,0.107116,0.005492,0.03002949905831517,1.31105,16.72395,45.51832,250.4496,443.1183,1181.369,1.844981,0.018147,12.732526,0.481935,0.43013047607990007,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,245,0.107374,0.003812,0.029919533356158504,1.301169,16.45174,44.5011,238.6905,427.0347,1167.592,1.841629,0.016114,12.69604,0.384956,0.41499259828730006,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,255,0.105626,0.003941,0.02995308579286224,1.293575,16.1672,43.07648,224.6867,411.871,1157.822,1.836228,0.01468,12.716211,0.333064,0.3990476762384,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,265,0.10572,0.00236,0.02990236941921312,1.297657,15.87497,41.66158,212.2258,399.0755,1150.586,1.825782,0.01468,12.697124,0.229107,0.3819358295567,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,275,0.105668,0.003415,0.029850758531786006,1.284341,15.25318,38.86702,202.2608,391.7884,1142.896,1.801957,0.015746,12.65376,0.3617,0.3621070342153,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,285,0.10472,0.004457,0.029474142667357303,1.273835,14.37077,35.43309,190.3566,383.6148,1121.405,1.762592,0.015276,12.550449,0.371724,0.3400212640277,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.001,295,0.106932,0.004327,0.02961156201632333,1.198098,12.00661,28.96519,175.4193,369.6331,1108.674,1.681077,0.011949,10.844834,0.57069,0.31700190478379997,0.029816171076269146,0.5132879566666667,9.803991488793724,1.0,-3.0
0.1,0.1,0.01,5,0.89537,0.004902,0.03367040344973959,17.1568,64.1754,109.9994,384.0741,587.969,1316.534,1.539615,0.005468,13.968853,0.254852,0.3039337913041,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,15,0.893983,0.004613,0.03364633219127269,17.84559,64.43015,110.1585,384.292,587.8769,1316.267,1.538132,0.003866,16.885012,0.270134,0.3048257117860999,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,25,0.896091,0.005949,0.033643814620308084,17.59221,63.54116,109.2507,383.4383,586.9183,1315.58,1.53749,0.004125,17.726187,0.311033,0.3065338187766,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
0.1,0.1,0.01,35,0.894766,0.004721,0.033644268856002156,17.25969,62.38537,108.1771,382.5195,585.6353,1314.954,1.534932,0.005818,18.381581,0.371007,0.30988989244529996,0.03297398034687666,0.47238338999999996,10.106537825170216,1.0,-2.0
